url,job_title,company,salary_min,salary_max,remote,workplace_type,location,seniority_level,commitment,apply_source
https://careers-isc2.icims.com/jobs/2202/job?utm_source=hiringcafe_integration&iis=Job%20Board&iisn=HiringCafe,"Director, Ecommerce & Marketing Operations",(ISC)2,,,yes,Remote,United States,Senior Level,Full Time,icims
https://elchxmprod.jobs.hr.cloud.sap/job/New-York-Brand-Marketing-Director-Dr_Jart%2B-NY-10010/1323300500/,"Brand Marketing Director - Dr.Jart+ (New York, NY, US, 10010)",Estée Lauder Companies,120550.0,208200.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,successfactors
https://elchxmprod.jobs.hr.cloud.sap/job/New-York-Director%2C-Global-Marketing%2C-Skincare-NY-10001/1323639000/,"Director, Global Marketing, Skincare (New York, NY, US)",Estée Lauder Companies,,,no,Onsite,"New York, New York, United States",Senior Level,Full Time,successfactors
https://elchxmprod.jobs.hr.cloud.sap/job/New-York-Director%2C-Acquisition-Marketing-%28EL%2C-BB%2C-LAB%29-NY-10010/1323639300/,"Director, Acquisition Marketing (EL, BB, LAB) (New York, NY, US, 10010)",SAP Business Technology Platform,120550.0,208200.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,successfactors
https://elchxmprod.jobs.hr.cloud.sap/job/New-York-Executive-Director%2C-Global-Marketing%2C-Skincare-Clinique-NY-10153/1323310400/,"Executive Director, Global Marketing, Skincare - Clinique (New York, NY, US, 10153)",SAP Business Technology Platform,154000.0,264750.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,successfactors
https://jobs.jobvite.com/hachette-internal/job/orBUxfwd?nl=1&fr=true,"Director of Marketing and Retail Strategy,  James Patterson Publishing Program",Hachette Book Group,110000.0,130000.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,jobvite
https://jobs.jobvite.com/hachette-book-group/job/orBUxfwd?nl=1&fr=true,"Director of Marketing and Retail Strategy,  James Patterson Publishing Program",Hachette Book Group,110000.0,130000.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,jobvite
https://job-boards.greenhouse.io/blinkhealth/jobs/8135837002,"Director, Product Marketing ",Blink Health,,,yes,Remote,United States,Senior Level,Full Time,grnhse
https://careers-hines.icims.com/jobs/13119/job?utm_source=hiringcafe_integration&iis=Job%20Board&iisn=HiringCafe,Director of Marketing - Hudson Square Portfolio,Hines,180000.0,200000.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,icims
https://careers-hines.icims.com/jobs/13175/job?utm_source=hiringcafe_integration&iis=Job%20Board&iisn=HiringCafe,Director - Global Content,Hines,190200.0,271800.0,no,Onsite,Houston or New York or London,Senior Level,Full Time,icims
http://healthynest.applytojob.com/apply/S0tOlKPZEg/Director-Vice-President-Of-Brand-And-Marketing,Director / Vice President of Brand and Marketing,healthybaby,180000.0,200000.0,no,Hybrid,"New York, New York, United States",Senior Level,Full Time,jazzhr
https://job-boards.greenhouse.io/nflcareers/jobs/4902509008,"Director, Global Fan Engagement Marketing",The National Football League,140000.0,185000.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,grnhse
https://jobs.netapp.com/job/New-York-Director%2C-Enterprise-Marketing-NY-10001/1321317000/,"Director, Enterprise Marketing (New York, NY, US, 10001)",NetApp,198050.0,293700.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,successfactors
https://complyadvantage.com/careers/jobs/8099540002?gh_jid=8099540002,"Director, Product Marketing",ComplyAdvantage,191000.0,230000.0,no,Hybrid,New York City or London or Lisbon or Singapore or Cluj-Napoca,Senior Level,Full Time,grnhse
https://tiaa.wd1.myworkdayjobs.com/search/job/Virtual-KS-USA/Director--529-College-Savings-Plan-Marketing---Kansas--Virtual_R250700177-1,"Director, College Savings Plan Marketing - Kansas, Virtual",TIAA,101000.0,141000.0,yes,Remote,United States,Senior Level,Full Time,workday
https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=136722ae-c71f-4453-8030-242173f026a9&jobId=558059,"Assistant Director, Marketing & Fan Engage.",Army West Point Athletic Association,45000.0,48000.0,no,Onsite,"West Point, New York, United States",Mid Level,Full Time,adp
https://job-boards.greenhouse.io/bubbleskincare/jobs/4868428007,Director of Marketing Strategy & Operations (MSO),Bubble Skincare,100000.0,150000.0,no,Hybrid,"New York, New York, United States",Senior Level,Full Time,grnhse
https://apply.workable.com/j/929C1A6CE3,"Director, Marketing Operations",Kooth,150000.0,150000.0,yes,Remote,United States,Senior Level,Full Time,workable
https://jobs.netapp.com/job/New-York-Director%2C-Enterprise-Marketing-NY-10001/1321317000/,"Director, Enterprise Marketing (New York, NY, US, 10001)",NetApp,198050.0,293700.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,successfactors
https://job-boards.greenhouse.io/theknotworldwide/jobs/4809027008,"Product Marketing Director, eCommerce",The Knot Worldwide,,,no,Hybrid,"New York City or Barcelona or Delhi or Galway or London or New York City or Washington, D.C.",Senior Level,Full Time,grnhse
https://job-boards.greenhouse.io/corellium/jobs/5642547004,Director of Product Marketing,Corellium,,,yes,Remote,United States,Senior Level,Full Time,grnhse
https://www.recruitics.com/jobs?gh_jid=5647010004,Client Director,Recruitics,82000.0,124000.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,grnhse
